nome,foto,partido
Mecias de Jesus,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg,REPUBLICANOS
Nelsinho Trad,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,PSD
Nelsinho Trad,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,PSD
Nilda Gondim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5281.jpg,MDB
Nilda Gondim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5281.jpg,MDB
Nilda Gondim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5281.jpg,MDB
Omar Aziz,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,PSD
Omar Aziz,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,PSD
Oriovisto Guimarães,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg,PODEMOS
Otto Alencar,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,PSD
Otto Alencar,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,PSD
Otto Alencar,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,PSD
Paulo Paim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,PT
Paulo Paim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,PT
Paulo Paim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,PT
Paulo Paim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,PT
Paulo Rocha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador374.jpg,PT
Plínio Valério,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,PSDB
Plínio Valério,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,PSDB
Plínio Valério,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,PSDB
Randolfe Rodrigues,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,REDE
Randolfe Rodrigues,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,REDE
Reguffe,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5236.jpg,PODEMOS
Renan Calheiros,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg,MDB
Roberto Rocha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador677.jpg,PSDB
Roberto Rocha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador677.jpg,PSDB
Roberto Rocha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador677.jpg,PSDB
Rodrigo Cunha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5905.jpg,PSDB
Rodrigo Pacheco,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg,PSD
Rodrigo Pacheco,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg,PSD
Rogério Carvalho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg,PT
Rogério Carvalho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg,PT
Romário,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,PL
Romário,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,PL
Romário,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,PL
Rose de Freitas,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador2331.jpg,MDB
Rose de Freitas,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador2331.jpg,MDB
Simone Tebet,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5527.jpg,MDB
Simone Tebet,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5527.jpg,MDB
Soraya Thronicke,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5988.jpg,PSL
Styvenson Valentim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5959.jpg,PODEMOS
Sérgio Petecão,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,PSD
Sérgio Petecão,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,PSD
Sérgio Petecão,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,PSD
Tasso Jereissati,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3396.jpg,PSDB
Tasso Jereissati,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3396.jpg,PSDB
Tasso Jereissati,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3396.jpg,PSDB
Tasso Jereissati,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3396.jpg,PSDB
Telmário Mota,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5535.jpg,PROS
Vanderlan Cardoso,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg,PSD
Vanderlan Cardoso,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg,PSD
Veneziano Vital do Rêgo,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg,MDB
Veneziano Vital do Rêgo,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg,MDB
Wellington Fagundes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1173.jpg,PL
